Name,Price,Rating,Image
"LG UltraGear QHD 27-Inch Gaming Monitor 27GL83A-B - IPS 1ms (GtG), with HDR 10 Compatibility, NVIDIA G-SYNC, and AMD FreeSync, 144Hz, Black",,4.5,https://m.media-amazon.com/images/I/81dAe2wXIqL._AC_UY218_.jpg
"WALI Triple Monitor Mount, 3 Monitor Stand Desk Mount with Premium Gas Spring Arm for Screens up to 27 inch, Mounting Holes 75x75 or 100x100 mm (GSDM003), Black",,4.4,https://m.media-amazon.com/images/I/61bcaMgvz1L._AC_UY218_.jpg
"Laptop Screen Extender, 15.6"" Portable Monitor, FHD 1080P IPS 360° Rotation Screen Triple Monitor Laptops, Removable Multi-Mode Monitor for 13”-17” Laptops Compatible with Mac/Wins/Android/Dex",,4.4,https://m.media-amazon.com/images/I/81CTihSUAyL._AC_UY218_.jpg
"LG 24MP60G-B 24"" Full HD (1920 x 1080) IPS Monitor with AMD FreeSync and 1ms MBR Response Time, and 3-Side Virtually Borderless Design - Black",,4.6,https://m.media-amazon.com/images/I/61UOBg5l56S._AC_UY218_.jpg
"ASUS TUF Gaming 23.8” 1080P Monitor (VG247Q1A) - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Adaptive-sync, FreeSync Premium, Shadow Boost, Speakers, Eye Care, HDMI, DisplayPort",,4.7,https://m.media-amazon.com/images/I/71nlNZvtcYL._AC_UY218_.jpg
"ASUS TUF Gaming 24” (23.6 inch viewable) Curved Monitor (VG24VQER) – FHD, 180Hz, 1ms, DCI-P3 90%, Extreme Low Motion Blur Sync, FreeSync, Shadow Boost, Eye Care, DisplayWidget Center, 3yr Warranty",,4.6,https://m.media-amazon.com/images/I/71JJVTaZyuL._AC_UY218_.jpg
"Acer SH272 G0bih 27"" IPS Full HD (1920 x 1080) Ultra-Thin Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | Adjustable Stand | HDMI & VGA Ports",,4.6,https://m.media-amazon.com/images/I/719FEQFP1nL._AC_UY218_.jpg
"ASUS 24” (23.8-inch viewable) 1080P Eye Care Monitor (VA24EHF) - IPS, Full HD, Frameless, 100Hz, 1ms, Adaptive-Sync, for Working and Gaming, Low Blue Light, HDMI, VESA Mountable, Tilt, BLACK",,4.6,https://m.media-amazon.com/images/I/719XvPvIS9L._AC_UY218_.jpg
AOPEN By Acer 20E0Q bi 19.5-inch Professional HD+ (1600 x 900) Monitor | 75Hz Refresh Rate | VESA Mountable Eye Protection: BlueLight Filter & Flickerless Technology (1 x HDMI & VGA Port),,4.2,https://m.media-amazon.com/images/I/91lyLDhDJ7L._AC_UY218_.jpg
"AOC 24G15N 24 inch Gaming Monitor, Full HD 1920x1080, 180Hz 1ms, 1x HDMI 2.0, 1x Display Port, AMD FreeSync, 3-Sided Frameless, HDR Ready, Console Gaming Ready, 3-Year Zero-Bright-Dot",,4.5,https://m.media-amazon.com/images/I/81fTJcBME4L._AC_UY218_.jpg
