title,price,rating,image_url
"ViewSonic VA3209M 32 Inch IPS Full HD 1080p Monitor with Frameless Design, 75 Hz, Dual Speakers, HDMI, and VGA Inputs for Home and Office,Black",Not available,4.6,https://m.media-amazon.com/images/I/71T9QPCoPjL._AC_UY218_.jpg
"LG 24MP60G-B 24"" Full HD (1920 x 1080) IPS Monitor with AMD FreeSync and 1ms MBR Response Time, and 3-Side Virtually Borderless Design - Black",Not available,4.6,https://m.media-amazon.com/images/I/61UOBg5l56S._AC_UY218_.jpg
"acer SB270 G0bi 27"" IPS Full HD (1920 x 1080) Ultra-Thin Zero-Frame Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | Tilt | HDMI & VGA Ports",,4.5,https://m.media-amazon.com/images/I/81+fuMKCX3L._AC_UY218_.jpg
"Sceptre 22 inch 75Hz 1080P LED Monitor 99% sRGB HDMI X2 VGA Build-In Speakers, Machine Black (E225W-19203R series)",,4.5,https://m.media-amazon.com/images/I/61Zpru3io-L._AC_UY218_.jpg
"KTC 27 Inch QHD(2560 * 1440) 100Hz Computer Monitor - IPS Panel, Anti-Blue Light Screen, 100% High Color Gamut, 123% sRGB, Support FreeSync and GSync, PC Monitor for Casual Gaming and Working",,4.4,https://m.media-amazon.com/images/I/71v-HFN4d-L._AC_UY218_.jpg
"MSI MPG 321CURX QD-OLED 32-inch 3840 x 2160 (UHD) Computer Monitor, 240Hz, Adaptive-Synch, HDMI, DP Port, VESA Mountable, Tilt, Speaker, 0.03ms, Black",,4.7,https://m.media-amazon.com/images/I/71NbToUxVRL._AC_UY218_.jpg
"Acer SH272 G0bih 27"" IPS Full HD (1920 x 1080) Ultra-Thin Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | Adjustable Stand | HDMI & VGA Ports",,4.6,https://m.media-amazon.com/images/I/719FEQFP1nL._AC_UY218_.jpg
"SAMSUNG 24-Inch S43GC Series Business Essential Computer Monitor, IPS Panel, Height Adjustable Stand, Triple Input, New DisplayPort, 100Hz, AMD FreeSync, Advanced Eye Care LS24C432GANXZA, 2024",Not available,4.6,https://m.media-amazon.com/images/I/71lDNN-ZZuL._AC_UY218_.jpg
"ASUS TUF 34 Inch Curved Gaming Monitor - WQHD (3440x1440), 165Hz, 1ms, Extreme Low Motion Blur, FreeSync Premium, Eye Care, Height Adjustable, DisplayHDR 400, DisplayPort, HDMI, USB - VG34VQL1B",,4.6,https://m.media-amazon.com/images/I/712Z-vGAq0L._AC_UY218_.jpg
"MSI MAG 321UPX QD-OLED, 32"" 4K UHD Quantum Dot OLED Gaming Monitor, 3840 x 2160, 0.03ms, 240Hz, True Black HDR 400, 15W USB Type C, HDMI, DP Port",Not available,4.5,https://m.media-amazon.com/images/I/81OTgTga6KL._AC_UY218_.jpg
"KOORUI 24 inch Curved Monitor, Full HD 1080P Curved Computer Monitor, 1500R Screen, HDMI VGA, Tilt Adjustment, LCD Display, Eye Care, Black 24N5CA",,4.4,https://m.media-amazon.com/images/I/71Lyp+jyC3L._AC_UY218_.jpg
"Z-Edge 27 inch Curved Gaming Monitor 300Hz Monitor, 1ms 16:9 FHD 1080P Frameless Curved Monitor, UG27S Freesync Eye Care, 2×Display Port, 2×HDMI",,4.5,https://m.media-amazon.com/images/I/71LWDC5G3YL._AC_UY218_.jpg
"Dell S2722DC Monitor - 27-inch WQHD (2560x1440) 75Hz 4Ms Display, AMD FreeSync, Built in Speaker, USB Type-C Connectivity, Height/Pivot/Swivel/Tilt Adjust - Platinum Silver",Not available,4.5,https://m.media-amazon.com/images/I/71RKChuJA3L._AC_UY218_.jpg
"ASUS ProArt Display 27"" Monitor - WQHD (2560 x 1440), IPS, 100% sRGB, 100% Rec. 709, ΔE < 2, Calman Verified, USB Hub, USB-C, Daisy-chaining, HDMI, Compatible With Laptop & Mac Monitor - PA278CV",Not available,4.4,https://m.media-amazon.com/images/I/81LEbiQjk1L._AC_UY218_.jpg
"ASUS ROG Swift 27”1440P OLED DSC Gaming Monitor (PG27AQDM) - QHD (2560x1440), 240Hz, 0.03ms, G-SYNC Compatible, Anti-Glare Micro-Texture Coating, 99% DCI-P3, True 10-bit, DisplayPort,Black",,4.1,https://m.media-amazon.com/images/I/71tERZyENaL._AC_UY218_.jpg
"ASUS VA24EHE 23.8” Monitor 75Hz Full HD (1920x1080) IPS Eye Care HDMI D-Sub DVI-D,Black",,4.6,https://m.media-amazon.com/images/I/71hhyibUmtL._AC_UY218_.jpg
"Sceptre 34-Inch Curved Ultrawide WQHD Monitor 3440 x 1440 R1500 up to 165Hz DisplayPort x2 99% sRGB 1ms Picture by Picture, Machine Black 2023 (C345B-QUT168)",,4.4,https://m.media-amazon.com/images/I/71sPOWyMwVL._AC_UY218_.jpg
LG 45GR65DC-B Ultragear Curved Gaming Monitor 45-Inch 32:9 QHD 200Hz 1ms UltraWide Display AMD FreeSync Premium Pro VESA DisplayHDR 600 HDMI 2.1 x2 DP UBS x3 Tilt/Height/Swivel Stand - Black,Not available,4.4,https://m.media-amazon.com/images/I/71UAhke5vxL._AC_UY218_.jpg
"HP 27h Full HD Monitor - Diagonal - IPS Panel & 75Hz Refresh Rate - Smooth Screen - 3-Sided Micro-Edge Bezel - 100mm Height/Tilt Adjust - Built-in Dual Speakers - for Hybrid Workers,Black",Not available,4.6,https://m.media-amazon.com/images/I/81ZgjPhJKbL._AC_UY218_.jpg
"SAMSUNG 32-Inch S39C Series FHD Curved Gaming Monitor, 75Hz, AMD FreeSync, Game Mode, Advanced Eye Comfort, Frameless Display, Built in Speakers, Slim Metal Stand, LS32C392EANXGO, 2023, Black",,4.4,https://m.media-amazon.com/images/I/81TkbsVN2JL._AC_UY218_.jpg
"ViewSonic VX3276-MHD 32 Inch 1080p Widescreen IPS Monitor with Ultra-Thin Bezels, Screen Split Capability HDMI and DisplayPort",Not available,4.5,https://m.media-amazon.com/images/I/71KwNoK18DL._AC_UY218_.jpg
"Dell S3222HN Curved Monitor - 31.5-inch FHD (1920x1080) 75Hz 4Ms 1800R Curved Display, HDMI Connectivity, AMD FreeSync Technology, Tilt Adjustability - Silver",Not available,4.4,https://m.media-amazon.com/images/I/81vP9BQZiYL._AC_UY218_.jpg
"CRUA 24 Inch Curved Monitor, FHD(1920×1080P) 100HZ 120% sRGB Computer Monitors, Narrow Bezels on Three Sides, Blue Light Filter PC Monitor for Home, Office and Dormitory(HDMI, VGA)-White",,4.3,https://m.media-amazon.com/images/I/71XctzU-YAL._AC_UY218_.jpg
"KOORUI 24 inch Curved Monitor, Full HD 1080P Curved Computer Monitor, 1500R Screen, HDMI VGA, Tilt Adjustment, LCD Display, Eye Care, Black 24N5CA",,4.4,https://m.media-amazon.com/images/I/71Lyp+jyC3L._AC_UY218_.jpg
"11.6"" Laptop Extender Monitor Portable 1080P FHD IPS Triple Portable Monitors HDMI/USB A/Type C Plug and Play Laptop Screen Extender for Mac Windows Android Switch",$252.19,4.6,https://m.media-amazon.com/images/I/71miVIEzQ1L._AC_UY218_.jpg
"KOORUI 24 Inch Computer Monitor -FHD 1080P Gaming Monitor 165Hz VA 1ms, AdaptiveSync Technology, LED Monitors with Ultra-Thin, HDMI X2 /DP, VESA Compatible, Tilt Adjustable, Eye Care 24E4",,4.4,https://m.media-amazon.com/images/I/71ucxJRVNgL._AC_UY218_.jpg
"14"" Laptop Screen Extender Smart Base - Upgraded Triple Portable Monitor FHD 1080P -300% More Efficient, 360° Rotation/Detachable Dual Display, Plug-Play USB C/HDMI,Laptop Monitor Extender for Win/Mac",,4.8,https://m.media-amazon.com/images/I/71BXcxMVZtL._AC_UY218_.jpg
"OLED Portable Monitor with Speakers&Stand,16'',3K 2880x1800,120Hz,0.1ms Response,500000:1 Contrast rate,500 Nits,VESA Mountable,USB-C,HDMI,display for Laptop Mac mini PC MacBook Xbox PS5 Phone Switch",$299.00,4.0,https://m.media-amazon.com/images/I/71qae9dskpL._AC_UY218_.jpg
"SAMSUNG FT45 Series 24-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, DisplayPort, USB Hub, Height Adjustable Stand, 3 Yr WRNTY (LF24T454FQNXGO),Black",,4.5,https://m.media-amazon.com/images/I/81Kqx7S8-UL._AC_UY218_.jpg
"ASUS TUF Gaming 23.8” 1080P Monitor (VG247Q1A) - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Adaptive-sync, FreeSync Premium, Shadow Boost, Speakers, Eye Care, HDMI, DisplayPort",Not available,4.6,https://m.media-amazon.com/images/I/71nlNZvtcYL._AC_UY218_.jpg
"SAMSUNG 49"" Odyssey QD-OLED (G93SC) Series Curved Gaming Monitor, 240Hz, 0.03ms,Dual QHD,DisplayHDR True Black 400,AMD FreeSync Premium Pro,Height Adjustable Stand,3 Year Warranty,LS49CG932SNXZA",,4.0,https://m.media-amazon.com/images/I/61A7+iThMZL._AC_UY218_.jpg
"Philips 34E1C5600HE 34"" UltraWide QHD 21:9 Monitor with Built-in Windows Hello Webcam & Noise Canceling Mic, USB-C Docking, Stereo Speakers, 100Hz, 4-Year Advance Replacement",,4.4,https://m.media-amazon.com/images/I/61HNQYoiygL._AC_UY218_.jpg
LG 27US500-W Ultrafine Monitor 27-Inch 4K UHD (3840x2160) HDR10 IPS Borderless Design Reader Mode Flicker Safe Switch App HDMI DisplayPort - White,,4.4,https://m.media-amazon.com/images/I/71wcp5kFaWL._AC_UY218_.jpg
"AOC 27G15 27 inch Gaming Monitor, Full HD 1920x1080, 180Hz 1ms, 1x HDMI 2.0, 1x Display Port, AMD FreeSync, HDR10, Pivot & Height Adjustable, Console Gaming Ready, 3-Year Zero-Bright-Dot",,4.5,https://m.media-amazon.com/images/I/716Kr-NXMUL._AC_UY218_.jpg
"SAMSUNG 32” Odyssey G55C Series QHD 1000R Curved Gaming Monitor, 1ms(MPRT), HDR10, 165Hz, AMD Radeon FreeSync, Eye Care, Glare Free, Sharp Resolution LS32CG550ENXZA, 2024",,4.2,https://m.media-amazon.com/images/I/81cYQ1dO5xL._AC_UY218_.jpg
"SAMSUNG Viewfinity S65UA Series 34-Inch Ultrawide QHD Curved Monitor, 100Hz, USB-C, HDR10 (1 Billion Colors), Height Adjustable Stand, TUV-certified Intelligent Eye Care (LS34A654UBNXGO),Black",,4.1,https://m.media-amazon.com/images/I/91h5HRAzGKL._AC_UY218_.jpg
"ASUS ROG Swift 32” 4K OLED Gaming Monitor (PG32UCDM) - UHD (3840 x 2160), QD-OLED, 240Hz, 0.03ms, G-SYNC Compatible, Custom Heatsink, Graphene Film, 99% DCI-P3, True 10-bit, 90W USB-C",Not available,4.4,https://m.media-amazon.com/images/I/91t16+g29KL._AC_UY218_.jpg
"Dell G3223Q Gaming Monitor - 32-Inch 4K Ultra UHD (3840x2160), 144Hz 1Ms Display, AMD FreeSync+NVIDIA G-SYNC Compatible, Height/Swivel/Tilt Adjustability, 3Yr Advanced Exchange - Black",Not available,4.5,https://m.media-amazon.com/images/I/71ETgFzgkqL._AC_UY218_.jpg
"Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide/ Slim HDMI DisplayPort up to 200Hz Build-in Speakers, Metal Black (C305B-200UN1)",,4.5,https://m.media-amazon.com/images/I/71vTguaBMgL._AC_UY218_.jpg
